2021-12-03 16:28:46.235 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 16:28:47.327 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 16:28:47.328 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 16:29:21.699 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 16:29:23.909 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 16:29:23.910 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 16:29:47.972 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 16:29:55.528 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 16:29:57.085 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 16:29:57.086 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
