2021-12-03 14:56:35.536 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 14:56:36.904 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:56:36.905 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:56:48.045 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:56:49.564 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:56:49.565 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:56:49.927 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:56:49.928 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:56:52.777 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:56:53.629 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:56:53.630 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:56:57.480 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:56:58.422 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:56:58.424 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:57:00.216 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:57:01.434 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:57:01.435 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:57:17.205 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:57:18.046 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:57:18.047 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:58:02.639 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:58:16.340 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:58:16.340 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:58:18.472 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:58:20.266 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:58:20.267 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:58:23.327 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:58:29.311 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:58:29.312 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:59:49.614 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:59:50.857 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:59:50.858 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:59:54.920 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:59:59.625 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:00.778 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:00.779 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:00:05.007 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:06.702 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:16.488 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:18.168 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:18.169 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:00:21.548 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:25.437 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:27.316 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:27.317 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:00:29.060 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:31.482 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:33.025 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:33.026 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:00:34.391 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:35.534 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:36.863 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:36.864 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:00:39.535 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:00:54.154 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:00:57.128 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:00:57.129 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:01:08.282 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:01:08.283 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:01:21.858 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:01:21.859 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:01:45.162 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:01:46.629 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:01:47.683 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:01:47.684 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:01:58.764 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:01:58.764 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:01.186 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:02:02.524 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:02:03.584 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:02:04.658 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:04.659 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:09.664 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:02:12.574 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:02:16.777 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:16.778 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:38.592 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:02:39.196 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:39.197 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:39.789 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:39.790 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:41.507 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:41.507 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 15:02:48.670 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 15:02:50.763 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:02:51.290 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 15:02:52.306 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 15:02:52.307 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
