2021-12-03 14:03:42.704 | DEBUG    | Player:setAudio:82 - New sound selected
2021-12-03 14:03:43.958 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:03:43.960 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:03:49.083 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:03:56.405 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:03:56.407 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:03:58.908 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:04:01.260 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:04:01.263 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:04:01.500 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:04:01.501 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:04:03.684 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:04:04.573 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:04:04.575 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:04:04.904 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:04:04.906 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:04:05.865 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:04:05.866 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:04:06.643 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:17:42.124 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:42.125 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:43.783 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:17:44.659 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:44.660 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:44.886 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:44.886 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:46.905 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:17:47.569 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:47.570 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:48.043 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:48.044 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:49.364 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:17:51.511 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:51.512 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:51.916 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:17:51.917 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:17:56.566 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:18:06.492 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:06.494 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:06.996 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:06.997 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:11.387 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:18:19.116 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:19.119 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:19.479 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:19.479 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:20.583 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:20.585 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:22.804 | DEBUG    | Player:stop_handler:50 - Sound Stopped
2021-12-03 14:18:26.455 | DEBUG    | Player:play_handler:42 - Sound Played
2021-12-03 14:18:26.457 | INFO     | Player:play_handler:43 - Sound Sample rate is 44100
2021-12-03 14:18:27.422 | DEBUG    | Player:stop_handler:50 - Sound Stopped
