2021-12-03 19:04:09.317 | DEBUG    | Player:setAudio:81 - New sound selected
2021-12-03 19:04:10.271 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:10.272 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:11.424 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:04:14.322 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:14.323 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:23.054 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:04:25.012 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:25.013 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:29.866 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:04:30.770 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:30.771 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:33.994 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:04:38.912 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:38.913 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:39.087 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:04:39.088 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:04:56.599 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:05:09.923 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:09.925 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:10.099 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:10.099 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:23.846 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:05:36.680 | DEBUG    | Player:setAudio:81 - New sound selected
2021-12-03 19:05:38.812 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:38.813 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:39.602 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:39.603 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:41.698 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:41.698 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:50.390 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:05:53.640 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:05:53.641 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:05:58.030 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:06:00.451 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:00.452 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:00.657 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:00.657 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:15.580 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:15.581 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:29.590 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:29.591 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:29.778 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:29.778 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:38.232 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:06:40.779 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:40.780 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:42.747 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:06:45.195 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:45.195 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:06:45.626 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:06:45.627 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:07:06.130 | DEBUG    | Player:setAudio:81 - New sound selected
2021-12-03 19:07:07.409 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:07:07.410 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:07:07.734 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:07:07.736 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:07:10.620 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:07:13.493 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:07:13.494 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:07:14.270 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:07:14.271 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
2021-12-03 19:07:22.411 | DEBUG    | Player:stop_handler:49 - Sound Stopped
2021-12-03 19:07:24.971 | DEBUG    | Player:play_handler:41 - Sound Played
2021-12-03 19:07:24.972 | INFO     | Player:play_handler:42 - Sound Sample rate is 44100
